R Z Br Bz
0.000000000000000000e+00 -1.199999999999999956e-01 0.000000000000000000e+00 8.534649805566352221e-02
0.000000000000000000e+00 -1.189999999999999947e-01 0.000000000000000000e+00 8.760720703142002574e-02
0.000000000000000000e+00 -1.179999999999999938e-01 0.000000000000000000e+00 8.993085152100850632e-02
0.000000000000000000e+00 -1.169999999999999929e-01 0.000000000000000000e+00 9.231949852931173317e-02
0.000000000000000000e+00 -1.159999999999999920e-01 0.000000000000000000e+00 9.477521506137284724e-02
0.000000000000000000e+00 -1.149999999999999911e-01 0.000000000000000000e+00 9.730006812071929911e-02
0.000000000000000000e+00 -1.139999999999999902e-01 0.000000000000000000e+00 9.989612471338323030e-02
0.000000000000000000e+00 -1.129999999999999893e-01 0.000000000000000000e+00 1.025654551124740715e-01
0.000000000000000000e+00 -1.119999999999999885e-01 0.000000000000000000e+00 1.053101426658816647e-01
0.000000000000000000e+00 -1.109999999999999876e-01 0.000000000000000000e+00 1.081322739928466947e-01
0.000000000000000000e+00 -1.099999999999999867e-01 0.000000000000000000e+00 1.110339357096302437e-01
0.000000000000000000e+00 -1.089999999999999858e-01 0.000000000000000000e+00 1.140172144355145606e-01
0.000000000000000000e+00 -1.079999999999999849e-01 0.000000000000000000e+00 1.170841967863100741e-01
0.000000000000000000e+00 -1.069999999999999840e-01 0.000000000000000000e+00 1.202370462475501611e-01
0.000000000000000000e+00 -1.059999999999999831e-01 0.000000000000000000e+00 1.234782337567867094e-01
0.000000000000000000e+00 -1.049999999999999822e-01 0.000000000000000000e+00 1.268103071194405240e-01
0.000000000000000000e+00 -1.039999999999999813e-01 0.000000000000000000e+00 1.302358141417456761e-01
0.000000000000000000e+00 -1.029999999999999805e-01 0.000000000000000000e+00 1.337573026270531817e-01
0.000000000000000000e+00 -1.019999999999999796e-01 0.000000000000000000e+00 1.373773203807561738e-01
0.000000000000000000e+00 -1.009999999999999787e-01 0.000000000000000000e+00 1.410984579712423748e-01
0.000000000000000000e+00 -9.999999999999997780e-02 0.000000000000000000e+00 1.449234770142789896e-01
0.000000000000000000e+00 -9.899999999999997691e-02 0.000000000000000000e+00 1.488551818914241320e-01
0.000000000000000000e+00 -9.799999999999997602e-02 0.000000000000000000e+00 1.528963769818514062e-01
0.000000000000000000e+00 -9.699999999999997513e-02 0.000000000000000000e+00 1.570498666653346309e-01
0.000000000000000000e+00 -9.599999999999997424e-02 0.000000000000000000e+00 1.613184553225217588e-01
0.000000000000000000e+00 -9.500000000000000111e-02 0.000000000000000000e+00 1.657049743550266796e-01
0.000000000000000000e+00 -9.400000000000000022e-02 0.000000000000000000e+00 1.702123632504312645e-01
0.000000000000000000e+00 -9.299999999999999933e-02 0.000000000000000000e+00 1.748435885198064421e-01
