 z Ez
-1.840000000000000524e-01 2.902400372032034569e-11
-1.799999999999999933e-01 2.194251372796062686e-10
-1.759999999999999343e-01 5.073056363625769584e-10
-1.719999999999999030e-01 1.021147950863455690e-09
-1.679999999999998439e-01 1.992100800974816246e-09
-1.640000000000000624e-01 3.855909159100751024e-09
-1.600000000000000033e-01 7.419461588071693295e-09
-1.559999999999999443e-01 1.425692573098619172e-08
-1.519999999999998852e-01 2.744648539627687225e-08
-1.479999999999998261e-01 5.292045215643587985e-08
-1.440000000000000724e-01 1.021128695532505781e-07
-1.400000000000000133e-01 1.963184867799453049e-07
-1.359999999999999543e-01 3.771520137616040716e-07
-1.319999999999998952e-01 7.260255471461382141e-07
-1.279999999999998361e-01 1.399858759673350682e-06
-1.240000000000000546e-01 2.701103622122651717e-06
-1.199999999999999956e-01 5.193020875838761353e-06
-1.159999999999999504e-01 9.976420056061993295e-06
-1.119999999999998913e-01 1.920486171417748258e-05
-1.079999999999998322e-01 3.702934422289336756e-05
-1.040000000000000646e-01 7.145051586466171281e-05
-1.000000000000000056e-01 1.373668975985124026e-04
-9.599999999999994649e-02 2.638982377443186843e-04
-9.199999999999988742e-02 5.080108628586221548e-04
-8.799999999999982836e-02 9.795109579599893881e-04
-8.400000000000006073e-02 1.890027278170204389e-03
-8.000000000000000167e-02 3.633596228897875268e-03
-7.599999999999994260e-02 6.980312095803901072e-03
-7.199999999999988354e-02 1.343617991722179626e-02
-6.799999999999982447e-02 2.590167579888668151e-02
-6.400000000000005684e-02 4.995478915464635072e-02
-5.999999999999999778e-02 9.593264306118053086e-02
-5.599999999999994565e-02 1.838253240280206258e-01
-5.199999999999988659e-02 3.517572725539197531e-01
-4.799999999999982753e-02 6.687544923093314830e-01
-4.400000000000005990e-02 1.248905959291499057e+00
-4.000000000000000083e-02 2.244206288630517854e+00
-3.599999999999994177e-02 3.778506529075873033e+00
-3.199999999999988964e-02 5.770778347792679952e+00
-2.799999999999983058e-02 7.844930927778336560e+00
-2.400000000000005601e-02 9.604801036312920814e+00
-2.000000000000000042e-02 1.088877944081163029e+01
-1.599999999999994482e-02 1.174411010919885001e+01
-1.199999999999988576e-02 1.228175441967034232e+01
-7.999999999999830164e-03 1.259726061807521447e+01
-4.000000000000057329e-03 1.275195693348933368e+01
0.000000000000000000e+00 1.278116929741747931e+01
4.000000000000057329e-03 1.270540210372526424e+01
8.000000000000114658e-03 1.253556121715932647e+01
1.200000000000017025e-02 1.227833153123435572e+01
1.599999999999994482e-02 1.193764772081422265e+01
2.000000000000000042e-02 1.151650196298471407e+01
2.400000000000005601e-02 1.101845902756776674e+01
2.800000000000011507e-02 1.044832641331044343e+01
3.200000000000017414e-02 9.814167290048073866e+00
3.599999999999994177e-02 9.126850785382718101e+00
4.000000000000000083e-02 8.399815093440555103e+00
4.400000000000005990e-02 7.648874921562395457e+00
4.800000000000011202e-02 6.891539952931880819e+00
5.200000000000017109e-02 6.145437682954915992e+00
5.599999999999994565e-02 5.426669115340382099e+00
5.999999999999999778e-02 4.748477357308781954e+00
6.400000000000005684e-02 4.120854912184714003e+00
6.800000000000011591e-02 3.550536078608335089e+00
7.200000000000017497e-02 3.040063320343903808e+00
7.599999999999994260e-02 2.589031262002998268e+00
8.000000000000000167e-02 2.195013985245531263e+00
8.400000000000006073e-02 1.854086949592344435e+00
8.800000000000011979e-02 1.561636476403962304e+00
9.200000000000017886e-02 1.312178596753890591e+00
9.599999999999994649e-02 1.100351207691780298e+00
1.000000000000000056e-01 9.212629484370861155e-01
1.040000000000000646e-01 7.703733612798665531e-01
1.080000000000001098e-01 6.436768306632784098e-01
1.120000000000001689e-01 5.374213540078599527e-01
1.159999999999999504e-01 4.483909110055287472e-01
1.199999999999999956e-01 3.739157246841003368e-01
1.240000000000000546e-01 3.116887023642191945e-01
1.280000000000001137e-01 2.597777236008198543e-01
1.320000000000001728e-01 2.164598163133007458e-01
1.359999999999999543e-01 1.803026119026351071e-01
1.400000000000000133e-01 1.501447098809945147e-01
1.440000000000000724e-01 1.250002119677753321e-01
1.480000000000001037e-01 1.040548076835043773e-01
1.520000000000001628e-01 8.659102059461766532e-02
1.559999999999999443e-01 7.201743334536959973e-02
1.600000000000000033e-01 5.985681775974058955e-02
1.640000000000000624e-01 4.970571131442291790e-02
